CCL,Floor,MinBuildingAge,BuildingNum,UnitNum,x,y,GFA,CLASS_NUM,TYPE_NUM,WIFIHK_NUM,POI_DIVERSITY,SMK_TYPE,RGD_TYPE,BUS_TYPE,MIN_TYPE,MAL_TYPE,CVS_TYPE,RCP_TYPE,CPO_TYPE,SGD_TYPE,PLG_TYPE,BAS_TYPE,CMC_TYPE,TOI_TYPE,POB_TYPE,KDG_TYPE,CHU_TYPE,PRS_TYPE,SES_TYPE,EES_TYPE,PAV_TYPE,LIB_TYPE,SMK_DIST,RGD_DIST,BUS_DIST,MIN_DIST,MAL_DIST,CVS_DIST,RCP_DIST,CPO_DIST,SGD_DIST,PLG_DIST,BAS_DIST,CMC_DIST,TOI_DIST,POB_DIST,KDG_DIST,CHU_DIST,PRS_DIST,SES_DIST,EES_DIST,PAV_DIST,LIB_DIST,New_price
191.35,1,35,61,12696,840378,816386,831,16,66,75,4.009324455,12,21,11,4,6,26,15,32,10,5,7,5,12,20,54,20,9,5,14,30,3,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,15.6
191.35,1,1,1,264,832607,816498,254,15,68,97,4.087633722,22,31,5,6,10,33,13,20,6,16,8,8,31,29,51,23,18,9,25,33,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,7.04
191.35,1,33,48,6504,842797,815516,739,14,45,15,3.716394657,1,1,1,1,1,3,16,6,1,5,2,2,8,3,14,5,1,1,11,13,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,10.2
191.35,5,40,20,2788,833925,812194,551,16,66,94,4.164455675,12,18,11,17,13,20,22,25,11,7,9,10,12,12,39,24,11,7,15,47,6,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,6.7
191.35,3,30,2,220,831923,816388,650,15,63,81,4.001828737,21,27,5,9,7,33,11,16,3,14,3,8,19,21,56,23,11,5,18,26,2,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1.59
191.35,1,19,3,1148,833257,816463,717,15,78,121,4.031517684,28,31,19,4,14,50,13,24,6,15,7,5,31,49,50,20,16,7,34,28,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10.58
191.35,2,37,4,652,839955,816326,506,16,64,68,4.049558912,8,18,13,3,6,22,14,32,11,5,9,5,12,18,44,18,10,4,15,30,3,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,0,1,7.5
191.35,2,42,2,366,833498,816256,478,15,81,162,4.011831159,30,32,27,5,19,63,18,30,7,13,7,6,35,59,49,20,15,5,38,30,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7
191.35,1,33,48,6504,842761,815444,598,15,50,21,3.838852977,1,3,1,1,1,4,16,8,1,5,2,2,9,4,14,5,2,2,12,13,2,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,8.41
191.35,2,13,2,488,832794,816384,1186,15,71,105,4.068262128,25,33,6,6,11,39,13,24,6,16,8,8,32,34,56,23,19,9,32,32,2,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,21.2
191.35,1,35,12,188,831525,815977,500,16,61,57,4.024704708,14,24,5,7,7,22,6,14,4,12,8,7,20,14,45,19,10,5,18,40,2,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,6.85
191.35,2,13,1,95,830447,815805,714,15,49,22,3.944485121,6,16,6,4,0,10,2,6,6,4,5,4,6,4,16,3,2,1,16,15,1,0,1,1,0,0,0,0,0,1,0,1,0,1,1,0,1,1,0,1,1,0,12
191.35,2,19,3,1148,833196,816480,564,15,78,119,4.057833409,27,32,18,4,14,48,14,22,6,16,8,6,32,44,50,20,14,9,34,29,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8.57
191.35,1,33,48,6504,842501,815476,583,15,55,36,4.078279314,3,12,2,5,3,11,17,10,3,10,5,4,11,8,21,7,4,5,16,19,2,1,1,0,0,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,0,1,7.5
191.35,1,49,1,160,835536,819202,500,15,78,326,4.028023779,31,40,9,15,42,95,26,29,11,10,9,8,21,35,40,57,16,10,46,31,4,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5.07
191.35,2,29,1,43,836367,820091,530,15,71,183,4.126857186,19,28,9,18,32,50,26,26,27,7,14,10,18,33,72,53,29,28,52,33,2,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,6.78
191.35,1,38,2,300,838779,817051,365,15,64,90,4.08625299,14,18,13,4,13,31,12,32,3,11,7,6,10,15,44,23,12,9,21,18,2,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,4.8
191.35,2,25,8,2340,843695,814134,693,14,45,40,4.003293674,7,9,4,3,6,10,19,19,10,5,4,7,6,8,21,10,5,10,26,39,2,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,5.8
191.35,9,0,1,138,835189,818497,242,15,86,262,4.01081828,22,20,7,8,24,66,12,33,6,10,6,5,20,24,24,37,12,8,33,23,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,6.38
191.35,1,44,3,480,836731,815770,802,17,84,207,4.045069456,12,23,19,11,37,52,6,50,23,10,5,4,19,37,24,24,10,7,23,19,2,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,1,1,0,11.6
191.35,1,43,33,1515,831716,813797,1020,13,44,28,3.872729568,5,7,2,10,4,5,11,11,0,1,1,0,6,13,3,3,4,5,11,14,0,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,1,1,1,1,1,0,17.8
191.35,2,35,61,12696,840774,816382,835,15,63,83,4.01867575,14,18,12,8,7,24,19,29,9,4,6,7,9,18,60,24,9,5,16,31,4,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,22.38
191.35,3,35,12,188,831537,815988,518,16,61,57,4.029197728,14,23,5,7,7,22,6,14,4,12,8,7,20,14,45,20,10,5,18,39,2,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,6
191.35,2,47,1,20,838009,816444,1175,14,63,81,4.061327462,17,28,12,5,15,38,9,29,15,8,8,7,19,19,64,29,9,14,24,27,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18.8
191.35,2,7,1,144,837510,815560,732,17,64,127,4.122824895,15,29,20,12,28,41,7,32,21,8,5,5,20,32,36,17,11,11,29,29,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,11.7
191.35,2,35,61,12696,840652,816349,788,15,63,81,3.973339364,13,22,11,4,6,24,18,31,10,4,5,6,12,20,63,23,9,6,17,35,4,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12
191.35,1,35,61,12696,840096,816482,825,16,65,77,4.065671633,11,20,12,3,6,24,14,33,10,6,8,6,11,17,47,18,11,5,14,26,4,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,15
191.35,7,45,2,144,836251,815324,579,16,87,241,4.003128027,14,38,17,13,32,62,10,58,15,13,6,7,20,44,25,26,8,6,20,14,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7.1
191.35,2,37,1,38,833114,816470,546,15,80,120,4.058645866,27,33,15,4,13,47,14,22,6,16,8,6,32,41,50,21,15,9,35,29,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.85
